Quarter,NSW_ACT,NSW_Nth,NSW_Sth,NSW_Metro,NSW_Nth_Coast,NSW_Sth_Coast,NT_Central,NT_Nth_Coast,QLD_Metro,QLD_Central_Coast,QLD_Inland,QLD_Nth_Coast,SA_Metro,SA_Inland,SA_West_Coast,SA_Sth_Coast,TAS_Nth_East,TAS_Sth,TAS_Nth_West,VIC_Nth_West,VIC_Nth_East,VIC_Metro,VIC_East_Coast,VIC_West_Coast,WA_West_Coast,WA_Sth,WA_Nth
1998-01-01,551.0019215,621.9843366000001,974.5662973999999,3168.5179239,2017.2796874,1257.4465501,75.48201029999998,105.9668131,2621.8425561999998,425.81100130000004,486.46179929999994,507.25480230000005,715.1486078,326.44150620000005,252.88025820000001,440.9680459,396.450878,380.6020497,204.57623859999998,901.7054741,882.1629866999999,2528.7169199,958.488135,739.3509748000001,1358.5870959,161.7269485,120.7754501
1998-04-01,416.0256229,649.423122,1053.5724805,2714.9478084,1952.9958351999999,795.0745592,144.2254783,169.7106732,2241.0726506,371.74722099999997,836.3152476,518.7695334,525.349603,333.91022150000003,206.48274179999999,328.8957531,279.0751273,226.9095788,187.30352059999998,916.9823532999999,896.1394433,1944.3679225,680.1671345,357.5899016,1252.9483666,164.9737804,158.4043867
1998-07-01,436.0290111,688.2926358000001,1162.023159,2848.9307833000003,1405.4086653999998,643.2805461,299.0740765,229.3627827,2457.0872837,466.9588913,935.7128190999999,734.1349969,649.138971,257.0199285,129.3462903,177.8255331,131.0671721,176.9024397,93.9056632,729.8194967999999,783.6802513,1922.7559823,538.2676812,342.3217581,1196.7947231,206.8799344,184.6190347
1998-10-01,449.7984449,710.8400629,893.0100106,3072.8891221000003,1775.4289176000002,829.914258,132.3013975,115.4014198,2496.4082958,415.9674241,752.8377121999999,537.6157086000001,629.692685,376.2737998,191.48868290000001,255.1148015,285.3278691,227.7076627,167.5655074,909.0280154999999,730.7532930000001,2008.6697061999998,584.9854077,441.3926953,1502.3291359,198.5095915,138.878263
1999-01-01,378.5728168,696.3398079,959.185021,2726.2317363,2091.9802833,1111.0399904,102.6537674,82.2358249,2878.8067579000003,389.64453819999994,600.7743103999999,463.2652438,597.4449902,293.823596,251.6122193,398.3009855,344.666113,355.1516555,225.6019535,859.2911207,738.9674296000001,2363.2581007,738.3003736000001,604.5171708,1592.1370078,140.2134426,103.3371225
1999-04-01,558.1781421000001,755.6546035000001,876.9602471000001,2970.0566944,1610.2978091,841.069351,221.6436548,144.449131,2651.8170819999996,497.97761089999995,935.3443751,739.3413837999999,647.1542243,377.65622410000003,234.860776,376.44423620000003,237.20854380000003,251.5547441,132.0292601,848.1488535999999,841.617427,1893.5482822000001,570.4305509000001,407.9657872,1474.8645141,138.1843359,223.9154403
1999-07-01,448.9011959,819.9503746,917.2178810999999,2717.766853,1683.3385295,585.4035079,240.7938862,260.6373979,2626.3613471,522.300556,1008.0223478,861.3502533,580.5609055,317.35111589999997,159.4536013,225.58339410000002,150.8318191,208.6967209,70.6949138,784.2514596,735.6366819,1546.3588937,400.9333162,316.4206879,1283.6601713,196.490051,245.2246458
1999-10-01,594.8254416,664.8919618,952.8324674,3028.6073968,1697.7001185,791.7350009,151.3422711,97.0880285,2482.4317166,347.4547961,851.2826338,668.6667301,628.7085804,298.2732109,183.57187199999998,276.3894091,232.11867210000003,219.0419438,140.5982138,857.5801551,701.982451,1781.6442298000002,501.39833020000003,358.8173118,1264.8059756,178.64309319999998,75.4936284
2000-01-01,599.6685405000001,621.1052536999999,863.2315599,2678.5414523,2004.8396853000002,1128.2686875,112.901197,93.152023,2828.9691577,345.1969327,685.3415653999999,553.7185781,720.3160516,409.9202136,277.5609751,425.0494552,310.468456,296.2749978,182.38769059999998,983.4701298,801.9781576,2330.0679516,766.9199511,684.4210975,1415.3201764,159.6325079,60.5723338
2000-04-01,557.1350565,640.4702249000001,918.0716772,2660.4480954,1481.7681293,744.4620408999999,173.8320345,185.92989010000002,2495.9103525,333.5262278,912.2796979999999,602.4429987000001,621.8475359999999,274.9081089,228.56897170000002,290.1596766,197.55697249999997,200.1123706,111.4005217,900.7820269,736.1888184999999,1988.9241527999998,535.062856,340.946428,1533.0516806,175.4300764,99.846859
