Time,S11_0307a3cec15787560b7d0ba094f74d1decb2fa72,S11_0f415416ff153479d65f54df3fa9974af46e3a89,S11_1caab5f0e80231e1c6fdefc00edec4fdb6a02c5f,S11_27fbb11689277a30f5db9c71b42e1d3826bd34ff,S11_2ce3e7e1a5365dc54c7f4fc6284f0052397702b9,S11_2d837275047e5fdce39fda42b541dbf6c858a4d1,S12_350c6b9720ebb1e1a04e8f88ad0fa114c2af77b3,S12_39f06481738604cb5916dce15639e380514b99ca,S12_432650b919537d23cb4054fdb85a07eecaa4524c,S12_49228b90116c6075fabcd8a1cf0e48e016373614,S12_4db83178615678a918dfa6a38ae6e23de7a2d39a,S12_5e9c55269b890ad82c8ebbd146ea2a563fe768ce,S21_75d0930659fc8dcdaffed6c60d5871a969a76a87,S21_7bf877fd51c1c6db07c1fb0255eac4540030f28f,S21_7ebc4dd008e424c2510c6581a195524563b00ee9,S21_89819f031b89125c8c4b364317478f078925fe38,S21_a0ab25616dde3d31062ade71f866faa3b1e8e18f,S21_a4656735af4aa0ba2e4758f8d4f6e411cfc55097,S22_a52f9650e9aa3d60e43792eb2574e0e76bb00aaf,S22_b3e1bf5d8d0337b42f972ca11beafea062bd99be,S22_c41c064e0aa78571b028c8673ebe7abd59d0e6d8,S22_c55a669913fe883d9ec913821688656ea8e4c884,S22_da3ac5e45e56e0e2263f39f38c033366f5d1e0c4,S22_fe2245a4afe0afc24d215dd4abd2ffb34610dd27
2018-01-13,13.61951048972028,29.39046153797203,12.401550116566433,27.14044289083916,23.290587412517485,43.393254079230765,25.62346620034965,17.889018647923077,31.399960373006994,12.636296037342657,29.775899766783215,27.362128205314683,41.48413752916084,19.57953846181818,26.84384615370629,49.18528671286713,51.09176689944056,18.904769231048952,23.516783216783217,32.218377622167836,40.41829137531468,12.247939393706293,18.756568764755244,20.939463869580422
2018-01-14,15.13204398125,31.516791666736108,14.215831018645833,26.642250000069442,22.66116203763889,41.32532638888889,25.69145601854167,19.849231481201386,34.440326389236105,12.70583333326389,31.027912037083336,28.82862268548611,42.96941898131944,20.797502314444444,30.0850300925,48.12178240736111,52.039430555416665,19.72453240736111,26.691356481875,35.19075925895833,40.32134259201389,12.092185185305556,18.77313194486111,21.986219907569446
2018-01-15,14.528634259444443,30.77137037048611,13.943296296131944,33.04658796291667,39.513157407152775,50.145398148055556,60.75249305555556,20.50211111138889,33.34466203736111,22.236664351458334,40.33891203736111,30.292168981666666,44.073067129583336,23.637342592569446,26.589025463124997,56.26965740743056,53.561229166874995,32.45686111111111,28.47832175923611,34.21556018520833,47.224004629722224,13.189331018520834,25.135328703680557,21.73762731465278
2018-01-16,13.944145833124999,29.354115740972222,12.713456018368056,32.305337963125,40.140988425902776,48.861094907708335,59.14373842611111,19.56401388909722,31.954270833333332,24.63231712979167,41.89330555583334,28.64726388909722,41.83178703694445,22.500379629305556,25.372810184722223,56.362928240763885,51.05343749979167,35.48567361125,26.391222222499998,33.274717592500004,50.4315972225,12.73426620329861,23.45698379673611,21.001700842430555
2018-01-17,14.180569444055557,28.648777777708332,13.026400463479167,33.36246064798611,39.75910416666667,50.12710879625,58.02038888895834,21.451743055625,34.72696064826388,23.499895832986113,41.890483796180554,30.370020833124997,43.949391203750004,22.624877314722223,27.42185416659722,55.61214583305556,50.82655787041667,37.45259953708333,25.532173611041667,34.41344907395833,47.747212963125,12.70578935154861,22.613819444444445,23.221300925208332
2018-01-18,13.943453703381945,29.95939351840278,13.624004629604165,35.984370370625,40.12787731486111,50.44914351826389,59.67888657340278,20.259962962638888,35.144375000138886,21.27425462967361,41.167231481875,30.892078703958337,45.24172453673611,23.336289351666668,26.433682870833334,56.10494444444444,53.07271759256944,33.79726851895833,27.208826388680553,35.738733796597224,51.52676388875,13.937287037118056,24.462759259444443,25.420078703819442
2018-01-19,13.642532407333333,28.125706018333332,12.45689583357639,33.052479166805554,39.141094907847226,49.48623148145833,57.99621759256944,18.754949074194442,34.02423148152778,19.397527778006943,39.721657407222224,28.50077314833333,44.33011111111111,21.77739120409722,25.445550926319445,55.20278009256944,50.803858796180556,30.73128472208333,25.529092592708334,32.46162500020833,46.83887962965278,13.429037036493055,23.07116666659722,24.438719907847222
2018-01-20,15.090629629604166,30.569020833472223,15.151171295902778,27.778803240972223,24.477030092708333,43.62467824055555,25.369789352083334,19.60639120345139,36.71561805569444,18.629055555694446,32.05308564798611,30.55499074048611,42.76935185194444,19.791083333125002,28.751060185555552,50.25044907375,54.24920833326389,17.41660648159722,27.703020833194444,35.142562500555556,39.70380787048611,13.486726851861112,19.563152777638887,23.660493055347224
2018-01-21,15.385354166326389,29.379351851666666,13.800187499861112,26.85545138861111,23.324631944375,42.872273147986114,24.939849537430558,20.020361110951388,34.229699073888895,17.973076389027778,33.61490046333333,30.239807870347224,42.79446296263889,20.55527083333333,27.58588657451389,49.77066435229167,52.80234722229167,17.75124305534722,25.35571527763889,35.84843518506945,39.373925925763885,13.551807870368057,19.997564815069445,23.891657407222223
2018-01-22,14.836495370333333,28.865817129583334,12.727386573986111,35.71510416722222,41.51216898131944,49.48793981486111,58.882252315694444,19.936865740972223,32.62474768541667,20.28494907347222,41.79690740791667,29.488423611250003,44.23835185201389,23.76748757090278,24.942590277430554,57.626502314791665,50.99524537048612,33.25948148166667,25.149780092569443,32.38103240763889,53.31970370326389,14.312937500083333,24.248347222291667,28.32199537034722
2018-01-23,14.076185185270834,26.023877315,11.081618055472223,35.844166666666666,40.325006944444446,47.531861111319444,59.69134722111111,17.762615740583335,30.358287037430557,21.925284722291664,40.21534259284722,25.94441435222222,41.074460648333336,21.520738425347222,24.13194907402778,54.46462268548611,45.890263889375,34.726458333055554,24.367928240763888,29.19808333361111,52.148620370347224,13.190715277958333,21.643634259652778,23.06563194451389
2018-01-24,14.163314814590278,26.23968750027778,10.893141203930556,34.5341550925,39.96430787027778,49.004423611250004,57.189886573888884,19.33627546317361,32.06028009263889,24.369370370347223,43.443428240555555,26.931770833055555,42.99990046291666,21.986900463194445,25.397423611041667,52.94382870395833,45.569664351875,34.01907407430556,22.926574073888887,31.772453703819444,49.072340277847225,11.853766203694445,21.631384259097224,23.200928240625
2018-01-25,14.02853935157639,26.401895833402776,10.450736111145833,30.68387962965278,42.547481481805555,48.66278240736111,56.38883796284722,18.864907407708333,28.44114814826389,21.50459490743056,43.38030092576389,26.61466435201389,41.32781712965278,22.084412037222222,23.837101851875,52.92043981465278,44.32151851861111,32.44202546256944,23.128342592756944,31.735460647708333,46.37770833319444,11.380400462847222,21.948474536805556,21.124423611319443
2018-01-26,15.012361111111112,26.98358564798611,12.61618981467361,30.42544212965278,38.114847222013886,49.085372685208334,56.24085879625,17.622909722291666,31.666891203680557,19.12849305548611,39.580067130138886,27.648930555555555,42.17940046305555,21.818039352013887,25.566291666180557,53.59158564840278,48.23877777784722,31.24480092590278,23.89150694423611,31.691210647916666,48.19363657368055,11.462312500083334,24.284229166875,22.75449999986111
